room 2 2020-11-22 13:43:43.856
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -43
1 04:bd:88:76:f9:e0 -43
2 04:bd:88:76:f9:e1 -43
3 04:bd:88:76:f9:f1 -51
4 04:bd:88:76:f9:f2 -51
5 04:bd:88:76:f9:f0 -52
6 04:bd:88:76:f5:82 -71
7 04:bd:88:76:f4:22 -74
8 04:bd:88:76:f4:20 -76
9 04:bd:88:76:f5:80 -76
10 04:bd:88:76:f5:81 -76
11 18:64:72:29:09:c2 -82
12 18:64:72:29:09:c1 -83
13 70:8b:cd:5e:4f:f0 -83
14 18:64:72:29:09:c0 -84
15 04:bd:88:76:f6:81 -85
16 04:bd:88:76:f4:c1 -85
17 98:e7:f4:45:9b:4a -86
18 04:bd:88:76:f4:30 -86
19 04:bd:88:76:f6:80 -86
20 04:bd:88:76:f4:32 -87
21 04:bd:88:76:f4:31 -87
22 12:d0:7a:c5:05:b5 -87
23 84:d4:7e:4a:92:82 -88
24 04:bd:88:76:f6:82 -89
25 04:bd:88:77:08:22 -90

room 2 2020-11-22 13:44:13.834
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -46
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:f1 -51
5 04:bd:88:76:f9:f2 -51
6 04:bd:88:76:f5:82 -72
7 04:bd:88:76:f5:81 -75
8 04:bd:88:76:f5:80 -76
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f4:20 -78
11 04:bd:88:76:f4:22 -80
12 70:8b:cd:5e:4f:f0 -82
13 04:bd:88:76:f6:80 -85
14 04:bd:88:76:f6:81 -85
15 18:64:72:29:09:c2 -86
16 04:bd:88:76:f4:30 -86
17 04:bd:88:76:f4:31 -86
18 04:bd:88:76:f4:c1 -86
19 04:bd:88:76:f7:20 -86
20 04:bd:88:76:f4:c0 -86
21 04:bd:88:76:f6:82 -87
22 84:d4:7e:4a:68:02 -87
23 84:d4:7e:4a:4a:e2 -87
24 04:bd:88:76:f7:21 -88
25 84:d4:7e:4a:92:82 -89
26 04:bd:88:76:f4:c2 -90

room 2 2020-11-22 13:44:43.860
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -43
1 04:bd:88:76:f9:e1 -43
2 04:bd:88:76:f9:e0 -44
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:f1 -51
5 04:bd:88:76:f9:f2 -51
6 04:bd:88:76:f4:c2 -66
7 04:bd:88:76:f5:82 -74
8 04:bd:88:76:f5:80 -76
9 04:bd:88:76:f5:81 -76
10 04:bd:88:76:f4:22 -77
11 04:bd:88:76:f4:20 -78
12 04:bd:88:76:f4:21 -78
13 62:45:b7:78:a1:82 -79
14 70:8b:cd:5e:4f:f0 -83
15 18:64:72:29:09:c0 -84
16 18:64:72:29:09:c1 -85
17 84:d4:7e:4a:68:02 -86
18 ea:6f:38:06:5f:16 -86
19 98:e7:f4:45:9b:4a -87
20 18:64:72:29:09:c2 -87
21 84:d4:7e:4a:4a:e1 -87
22 04:bd:88:76:f4:c1 -88
23 04:bd:88:76:f4:c0 -88
24 04:bd:88:76:f5:90 -88
25 84:d4:7e:4a:4a:e0 -88

room 2 2020-11-22 13:45:13.953
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -43
1 04:bd:88:76:f9:e1 -43
2 04:bd:88:76:f9:e2 -44
3 04:bd:88:76:f9:f0 -49
4 04:bd:88:76:f9:f1 -50
5 04:bd:88:76:f9:f2 -50
6 04:bd:88:76:f7:22 -73
7 04:bd:88:76:f5:82 -74
8 70:8b:cd:5e:4f:f0 -76
9 04:bd:88:76:f5:80 -77
10 04:bd:88:76:f5:81 -77
11 04:bd:88:76:f4:20 -78
12 04:bd:88:76:f4:22 -78
13 04:bd:88:76:f4:21 -78
14 04:bd:88:76:f4:31 -80
15 04:bd:88:76:f4:32 -80
16 04:bd:88:76:f4:30 -81
17 18:64:72:29:09:c1 -84
18 04:bd:88:76:f6:80 -85
19 04:bd:88:76:f6:81 -85
20 98:e7:f4:45:9b:4a -86
21 18:64:72:29:09:c2 -87
22 8e:49:62:39:84:48 -88
23 3c:84:6a:81:e0:4b -89

room 2 2020-11-22 13:45:43.970
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -43
1 04:bd:88:76:f9:e1 -43
2 04:bd:88:76:f9:e2 -44
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:f1 -51
5 04:bd:88:76:f9:f2 -51
6 04:bd:88:76:f5:82 -74
7 04:bd:88:76:f5:81 -76
8 04:bd:88:76:f5:80 -77
9 04:bd:88:76:f4:21 -77
10 04:bd:88:76:f4:20 -78
11 04:bd:88:76:f4:22 -79
12 98:e7:f4:45:9b:4a -84
13 70:8b:cd:5e:4f:f0 -84
14 18:64:72:29:09:c2 -85
15 62:45:b6:ce:ac:21 -85
16 ea:6f:38:06:5f:16 -85
17 04:bd:88:76:f6:82 -85
18 04:bd:88:76:f4:c1 -86
19 84:d4:7e:4a:4a:e0 -87
20 84:d4:7e:4a:4a:e1 -87
21 84:d4:7e:4a:4a:e2 -87
22 04:bd:88:76:f4:c2 -90

room 2 2020-11-22 13:46:14.073
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -44
1 04:bd:88:76:f9:e0 -45
2 04:bd:88:76:f9:e1 -45
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:f1 -51
5 04:bd:88:76:f9:f2 -51
6 04:bd:88:76:f5:82 -73
7 04:bd:88:76:f5:81 -76
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f5:80 -77
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:22 -79
12 62:45:b7:78:a1:82 -80
13 70:8b:cd:5e:4f:f0 -86
14 04:bd:88:76:f4:c2 -86
15 04:bd:88:76:f6:80 -86
16 04:bd:88:76:f6:82 -87
17 04:bd:88:76:f4:30 -87
18 04:bd:88:76:f4:31 -87
19 04:bd:88:76:f4:32 -87
20 04:bd:88:76:f6:81 -87
21 84:d4:7e:4a:68:02 -87
22 ea:6f:38:06:5f:16 -88
23 04:bd:88:76:f7:22 -89
24 3c:84:6a:81:e0:4b -90
25 04:bd:88:77:08:22 -90

room 2 2020-11-22 13:46:44.071
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -43
1 04:bd:88:76:f9:e0 -44
2 04:bd:88:76:f9:e1 -44
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -52
6 04:bd:88:76:f5:82 -74
7 04:bd:88:76:f5:80 -77
8 04:bd:88:76:f5:81 -77
9 04:bd:88:76:f4:20 -78
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:22 -79
12 62:45:b7:78:a1:82 -80
13 18:64:72:29:09:c1 -80
14 18:64:72:29:09:c0 -82
15 70:8b:cd:5e:4f:f0 -83
16 18:64:72:29:09:c2 -83
17 04:bd:88:76:f4:c0 -85
18 04:bd:88:76:f4:32 -86
19 04:bd:88:76:f4:c1 -86
20 04:bd:88:76:f4:30 -88
21 04:bd:88:76:f4:31 -88
22 3c:84:6a:81:e0:4b -89

room 2 2020-11-22 13:47:14.150
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -43
1 04:bd:88:76:f9:e0 -45
2 04:bd:88:76:f9:e1 -45
3 04:bd:88:76:f9:f0 -46
4 04:bd:88:76:f9:f1 -46
5 04:bd:88:76:f9:f2 -46
6 04:bd:88:76:f5:82 -71
7 04:bd:88:76:f5:80 -75
8 04:bd:88:76:f5:81 -75
9 04:bd:88:76:f4:22 -77
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:20 -79
12 62:45:b6:ce:ac:21 -85
13 70:8b:cd:5e:4f:f0 -86
14 04:bd:88:76:f4:32 -86
15 ea:6f:38:06:5f:16 -86
16 84:d4:7e:4a:68:02 -86
17 04:bd:88:76:f4:30 -87
18 84:d4:7e:4a:92:82 -87

room 2 2020-11-22 13:47:44.231
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -45
1 04:bd:88:76:f9:e1 -45
2 04:bd:88:76:f9:e2 -46
3 04:bd:88:76:f9:f0 -47
4 04:bd:88:76:f9:f1 -47
5 04:bd:88:76:f9:f2 -47
6 98:e7:f4:45:9b:4a -64
7 04:bd:88:76:f4:22 -69
8 04:bd:88:76:f5:82 -72
9 04:bd:88:76:f5:80 -75
10 04:bd:88:76:f5:81 -76
11 04:bd:88:76:f4:21 -77
12 04:bd:88:76:f4:32 -81
13 04:bd:88:76:f4:31 -81
14 04:bd:88:76:f4:30 -82
15 62:45:b6:ce:ac:21 -84
16 62:45:b7:78:a1:82 -84
17 18:64:72:29:09:c0 -85
18 18:64:72:29:09:c1 -85
19 04:bd:88:76:f6:81 -85
20 04:bd:88:76:f6:80 -86
21 84:d4:7e:4a:68:02 -87
22 ea:6f:38:06:5f:16 -88
23 04:bd:88:76:f6:82 -89
24 12:d0:7a:c5:05:b5 -90
25 60:38:e0:bd:e6:29 -90
26 d8:eb:97:ed:c8:36 -91

room 2 2020-11-22 13:48:14.379
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -47
1 04:bd:88:76:f9:e0 -48
2 04:bd:88:76:f9:e1 -48
3 04:bd:88:76:f9:f0 -51
4 04:bd:88:76:f9:f1 -51
5 04:bd:88:76:f9:f2 -51
6 04:bd:88:76:f5:82 -74
7 04:bd:88:76:f5:80 -75
