room 3 2020-11-22 17:22:11.689
                BSSID  RSSI
0 62:45:b7:78:a1:82 -49
1 04:bd:88:76:f9:e2 -52
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 62:45:b6:ce:ac:21 -65
5 04:bd:88:76:f9:f0 -69
6 04:bd:88:76:f9:f1 -69
7 04:bd:88:76:f9:f2 -69
8 86:ce:f8:ed:61:36 -69
9 22:f5:43:71:f4:a6 -76
10 04:bd:88:77:08:21 -78
11 04:bd:88:77:08:20 -79
12 04:bd:88:77:07:22 -79
13 04:bd:88:77:07:20 -81
14 04:bd:88:77:07:21 -81
15 04:bd:88:77:08:22 -83
16 84:d4:7e:4a:68:02 -87
17 04:bd:88:76:f4:c2 -89

room 3 2020-11-22 17:22:41.702
                BSSID  RSSI
0 62:45:b7:78:a1:82 -48
1 04:bd:88:76:f9:e2 -52
2 04:bd:88:76:f9:e0 -55
3 04:bd:88:76:f9:e1 -56
4 86:ce:f8:ed:61:36 -69
5 04:bd:88:76:f9:f2 -72
6 04:bd:88:76:f9:f0 -73
7 04:bd:88:76:f9:f1 -73
8 12:d0:7a:c5:05:b5 -77
9 04:bd:88:77:08:21 -79
10 84:d4:7e:4a:4a:e0 -79
11 04:bd:88:77:08:20 -80
12 04:bd:88:77:07:20 -80
13 04:bd:88:77:07:21 -80
14 04:bd:88:77:08:22 -83
15 04:bd:88:76:f4:22 -83
16 84:d4:7e:4a:4b:e2 -83
17 84:d4:7e:4a:4a:e2 -84
18 04:bd:88:76:f5:82 -85

room 3 2020-11-22 17:23:11.776
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -54
3 04:bd:88:76:f9:e0 -54
4 86:ce:f8:ed:61:36 -67
5 04:bd:88:76:f9:f0 -69
6 04:bd:88:76:f9:f1 -69
7 04:bd:88:76:f9:f2 -69
8 12:d0:7a:c5:05:b5 -76
9 62:45:b6:ce:ac:21 -76
10 04:bd:88:77:07:20 -81
11 04:bd:88:77:07:21 -81
12 04:bd:88:77:07:22 -81
13 04:bd:88:76:f5:80 -82
14 04:bd:88:76:f5:81 -82
15 84:d4:7e:4a:4b:e2 -85

room 3 2020-11-22 17:23:41.801
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -53
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 86:ce:f8:ed:61:36 -66
5 04:bd:88:76:f9:f1 -68
6 04:bd:88:76:f9:f0 -69
7 04:bd:88:76:f9:f2 -69
8 12:d0:7a:c5:05:b5 -75
9 04:bd:88:77:08:21 -78
10 22:f5:43:71:f4:a6 -79
11 84:d4:7e:4a:4a:e1 -79
12 04:bd:88:77:08:20 -79
13 04:bd:88:77:07:22 -80
14 84:d4:7e:4a:4a:e0 -81
15 04:bd:88:77:08:22 -82
16 04:bd:88:76:f5:81 -83
17 04:bd:88:76:f5:80 -84
18 04:bd:88:76:f4:22 -84
19 84:d4:7e:4a:4a:e2 -84
20 04:bd:88:76:f5:82 -85
21 84:d4:7e:4a:4b:e2 -86
22 04:bd:88:76:f4:20 -86
23 04:bd:88:76:f4:21 -86

room 3 2020-11-22 17:24:11.860
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e1 -56
2 04:bd:88:76:f9:e0 -56
3 04:bd:88:76:f9:e2 -57
4 86:ce:f8:ed:61:36 -68
5 04:bd:88:76:f9:f0 -71
6 04:bd:88:76:f9:f1 -71
7 04:bd:88:76:f9:f2 -71
8 12:d0:7a:c5:05:b5 -73
9 84:d4:7e:4a:4a:e1 -78
10 04:bd:88:76:f4:22 -79
11 84:d4:7e:4a:4a:e0 -79
12 04:bd:88:77:08:21 -79
13 04:bd:88:77:08:20 -80
14 84:d4:7e:4a:4a:e2 -84
15 04:bd:88:77:08:22 -84
16 84:d4:7e:4a:68:02 -85
17 84:d4:7e:4a:4b:e2 -86
18 84:d4:7e:4a:92:82 -88
19 84:d4:7e:4a:6d:a2 -89

room 3 2020-11-22 17:24:41.891
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -55
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -69
5 86:ce:f8:ed:61:36 -69
6 84:d4:7e:4a:4a:e1 -78
7 04:bd:88:77:08:22 -79
8 84:d4:7e:4a:4a:e0 -80
9 04:bd:88:77:08:21 -80
10 04:bd:88:77:08:20 -81
11 04:bd:88:77:07:22 -83
12 04:bd:88:76:f5:81 -83
13 04:bd:88:76:f4:21 -84
14 04:bd:88:76:f5:80 -84
15 04:bd:88:76:f5:82 -84
16 84:d4:7e:4a:4b:e2 -85
17 84:d4:7e:4a:4a:e2 -85
18 84:d4:7e:4a:68:02 -85
19 70:3a:0e:45:93:02 -86
20 84:d4:7e:4a:4b:e1 -86
21 04:bd:88:76:f4:22 -90

room 3 2020-11-22 17:25:11.931
                BSSID  RSSI
0 62:45:b7:78:a1:82 -47
1 04:bd:88:76:f9:e2 -54
2 04:bd:88:76:f9:e1 -56
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:f1 -70
5 04:bd:88:76:f9:f2 -70
6 04:bd:88:76:f9:f0 -71
7 84:d4:7e:4a:4a:e1 -80
8 04:bd:88:77:08:20 -80
9 04:bd:88:77:08:21 -80
10 84:d4:7e:4a:4a:e2 -82
11 04:bd:88:76:f5:80 -84
12 04:bd:88:76:f5:82 -84
13 04:bd:88:77:07:20 -84
14 04:bd:88:76:f4:22 -85
15 a0:8c:fd:6d:ee:72 -85
16 04:bd:88:77:07:22 -86
17 04:bd:88:76:f4:21 -86

room 3 2020-11-22 17:25:41.922
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -54
1 04:bd:88:76:f9:e1 -56
2 04:bd:88:76:f9:e0 -56
3 04:bd:88:76:f9:f1 -70
4 04:bd:88:76:f9:f0 -70
5 04:bd:88:76:f9:f2 -70
6 62:45:b6:ce:ac:21 -76
7 84:d4:7e:4a:4a:e1 -79
8 04:bd:88:77:08:21 -79
9 04:bd:88:77:07:22 -80
10 04:bd:88:76:f4:22 -84
11 04:bd:88:76:f5:81 -84
12 84:d4:7e:4a:4a:e2 -85
13 04:bd:88:76:f5:82 -85
14 04:bd:88:77:08:22 -85
15 a0:8c:fd:6d:ee:72 -86
16 84:d4:7e:4a:68:02 -86
