room 2 2020-12-07 13:37:40.035
                BSSID  RSSI
0 78:f2:9e:1c:b3:90 -37
1 82:f2:9e:1c:b3:90 -39
2 7e:f2:9e:1c:b3:90 -39
3 78:f2:9e:1c:b3:88 -40
4 82:f2:9e:1c:b3:88 -40
5 06:aa:a0:7f:57:c8 -46
6 fa:aa:a0:7f:57:c8 -47
7 ec:aa:a0:7f:57:c8 -49
8 9e:8f:e0:44:d0:80 -52
9 6e:8f:e0:44:d0:80 -53
10 5c:8f:e0:44:d0:80 -53
11 f6:aa:a0:7f:57:c8 -54
12 10:33:bf:4f:66:18 -55
13 f4:0e:83:c2:45:19 -56
14 60:02:92:a6:e7:78 -56
15 6a:02:92:a6:e7:78 -56
16 8e:f2:9e:1c:b3:90 -58
17 8a:f2:9e:1c:b3:90 -58
18 7a:02:92:a6:e7:78 -58
19 8e:8f:e0:44:d0:85 -59
20 6e:8f:e0:44:d0:85 -59
21 5c:8f:e0:44:d0:85 -59
22 f2:aa:a0:7f:57:d0 -60
23 02:aa:a0:7f:57:d0 -61
24 f6:aa:a0:7f:57:d0 -61
25 ec:aa:a0:7f:57:d0 -61
26 06:0e:83:c2:45:19 -62
27 3e:95:69:bc:cc:15 -64
28 2c:95:69:bc:cc:15 -64
29 10:33:bf:4f:66:23 -65
30 3e:95:69:bc:cc:16 -68
31 2c:95:69:bc:cc:16 -68
32 9e:8f:e0:44:d0:85 -68
33 6a:02:92:a5:d3:68 -72
34 60:02:92:a5:d3:68 -72
35 4e:95:69:bc:cc:16 -72
36 36:0e:83:c2:45:1a -72
37 6e:95:69:bc:cc:16 -72
38 f4:0e:83:c2:45:1a -73
39 06:0e:83:c2:45:1a -73
40 26:0e:83:c2:45:1a -73
41 10:33:bf:4f:66:24 -78
42 10:33:bf:4f:66:22 -78
43 10:33:bf:4f:66:20 -78
44 1a:f5:32:94:a0:a3 -78
45 f4:0e:83:ee:c2:58 -81
46 06:0e:83:ee:c2:58 -81
47 7a:02:92:a5:d3:68 -81
48 76:02:92:a5:d3:68 -81
49 16:0e:83:c2:45:1a -81
50 26:0e:83:ee:c2:58 -82
51 16:0e:83:ee:c2:58 -82
52 9a:9d:5d:e4:7b:a7 -82
53 9a:9d:5d:e4:7b:a2 -82
54 9a:9d:5d:e4:7b:a1 -82
55 9a:9d:5d:e4:7b:a0 -82
56 98:9d:5d:dc:7b:a5 -82
57 98:9d:5d:dc:7b:a4 -84
58 06:71:c2:56:7e:e8 -84
59 62:f1:9e:42:24:a2 -86
60 f8:f5:32:94:a0:a4 -86
