room 1 2020-12-07 13:15:22.194
                BSSID  RSSI
0 ec:aa:a0:7f:57:c8 -55
1 82:f2:9e:1c:b3:88 -55
2 06:aa:a0:7f:57:c8 -55
3 16:0e:83:c2:45:19 -57
4 10:33:bf:4f:66:18 -59
5 10:33:bf:4f:66:1d -59
6 7a:02:92:a6:e7:78 -59
7 10:33:bf:4f:66:1b -59
8 f4:0e:83:c2:45:19 -60
9 6a:02:92:a6:e7:78 -60
10 60:02:92:a6:e7:78 -61
11 f6:aa:a0:7f:57:c8 -61
12 6e:02:92:a6:e7:78 -61
13 3e:95:69:bc:cc:16 -62
14 2c:95:69:bc:cc:16 -62
15 8a:f2:9e:1c:b3:90 -62
16 f6:aa:a0:7f:57:d0 -62
17 82:f2:9e:1c:b3:90 -62
18 78:f2:9e:1c:b3:90 -63
19 02:aa:a0:7f:57:d0 -63
20 ec:aa:a0:7f:57:d0 -63
21 10:33:bf:4f:66:24 -63
22 10:33:bf:4f:66:22 -63
23 10:33:bf:4f:66:20 -63
24 3e:95:69:bc:cc:15 -63
25 f2:aa:a0:7f:57:d0 -63
26 6e:95:69:bc:cc:16 -63
27 4e:95:69:bc:cc:16 -63
28 6e:8f:e0:44:d0:80 -64
29 10:33:bf:4f:66:1a -66
30 5c:8f:e0:44:d0:80 -67
31 06:0e:83:c2:45:19 -68
32 2c:95:69:bc:cc:15 -70
33 8e:8f:e0:44:d0:85 -72
34 6e:8f:e0:44:d0:85 -72
35 5c:8f:e0:44:d0:85 -72
36 7e:8f:e0:44:d0:85 -72
37 06:0e:83:ee:c2:57 -73
38 f6:0e:83:ee:c2:57 -73
39 f4:0e:83:ee:c2:57 -74
40 60:02:92:a5:d3:68 -75
41 76:02:92:a5:d3:68 -75
42 6a:02:92:a5:d3:68 -75
43 7a:02:92:a5:d3:68 -75
44 06:0e:83:ee:c2:58 -77
45 f4:0e:83:ee:c2:58 -78
46 26:0e:83:ee:c2:58 -78
47 16:0e:83:ee:c2:58 -78
48 f4:0e:83:c2:45:1a -83
49 06:0e:83:c2:45:1a -83
50 16:0e:83:c2:45:1a -83
51 26:0e:83:c2:45:1a -84
52 4e:7a:8a:6c:c4:6a -87
