room 2 2020-12-17 23:58:58.355
                BSSID  RSSI
0 04:bd:88:76:f9:f2 -50
1 04:bd:88:76:f9:e2 -49
2 04:bd:88:76:f5:82 -81
3 04:bd:88:76:f9:f0 -50
4 04:bd:88:76:f9:f1 -50
5 04:bd:88:76:f9:e1 -46
6 04:bd:88:76:f9:e0 -46
7 04:bd:88:76:f4:21 -76
8 04:bd:88:76:f4:20 -77
9 04:bd:88:76:f5:80 -77
10 04:bd:88:76:f5:81 -77
11 04:bd:88:76:f4:22 -74
12 62:45:b7:78:a1:82 -87
13 70:8b:cd:5e:4f:f0 -85
14 60:38:e0:bd:e6:29 -87
15 18:64:72:29:09:c2 -87
16 04:bd:88:76:f7:22 -87
17 16:ae:db:f9:8e:5a -89
18 04:bd:88:76:f6:82 -89
19 62:45:b6:ce:ac:21 -84
20 04:bd:88:76:f5:91 -88
21 04:bd:88:76:f5:90 -88
22 04:bd:88:76:f6:81 -84
23 04:bd:88:76:f6:80 -85
24 04:bd:88:76:f7:20 -86
25 04:bd:88:76:f7:21 -86
26 18:64:72:29:09:c1 -87
27 18:64:72:29:09:c0 -88

room 2 2020-12-17 23:59:02.293
                BSSID  RSSI
0 04:bd:88:76:f9:f2 -48
1 04:bd:88:76:f9:e2 -54
2 04:bd:88:76:f5:82 -75
3 04:bd:88:76:f9:f0 -48
4 04:bd:88:76:f9:f1 -48
5 04:bd:88:76:f9:e1 -47
6 04:bd:88:76:f9:e0 -47
7 04:bd:88:76:f4:21 -76
8 04:bd:88:76:f4:20 -76
9 04:bd:88:76:f5:80 -77
10 04:bd:88:76:f5:81 -76
11 04:bd:88:76:f4:22 -77
12 62:45:b7:78:a1:82 -87
13 70:8b:cd:5e:4f:f0 -83
14 60:38:e0:bd:e6:29 -87
15 18:64:72:29:09:c2 -81
16 04:bd:88:76:f7:22 -87
17 16:ae:db:f9:8e:5a -89
18 04:bd:88:76:f6:82 -89
19 62:45:b6:ce:ac:21 -84
20 04:bd:88:76:f5:91 -88
21 04:bd:88:76:f5:90 -88
22 04:bd:88:76:f6:81 -84
23 04:bd:88:76:f6:80 -85
24 04:bd:88:76:f7:20 -86
25 04:bd:88:76:f7:21 -86
26 18:64:72:29:09:c1 -81
27 18:64:72:29:09:c0 -81
28 98:e7:f4:45:9b:4a -76
29 84:d4:7e:4a:d4:a2 -90
30 04:bd:88:76:f6:e2 -91
31 84:d4:7e:4a:68:01 -84

room 2 2020-12-17 23:59:06.357
                BSSID  RSSI
0 04:bd:88:76:f9:f2 -57
1 04:bd:88:76:f9:e2 -49
2 04:bd:88:76:f5:82 -81
3 04:bd:88:76:f9:f0 -57
4 04:bd:88:76:f9:f1 -57
5 04:bd:88:76:f9:e1 -43
6 04:bd:88:76:f9:e0 -43
7 04:bd:88:76:f4:21 -76
8 04:bd:88:76:f4:20 -76
9 04:bd:88:76:f5:80 -83
10 04:bd:88:76:f5:81 -81
11 04:bd:88:76:f4:22 -76
12 70:8b:cd:5e:4f:f0 -83
13 18:64:72:29:09:c2 -81
14 18:64:72:29:09:c1 -81
15 18:64:72:29:09:c0 -81
16 98:e7:f4:45:9b:4a -81
17 84:d4:7e:4a:d4:a2 -90
