room 1 2020-11-22 15:15:38.693
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -51
1 04:bd:88:76:f9:e1 -51
2 04:bd:88:76:f9:f1 -53
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:e2 -54
5 04:bd:88:76:f9:f2 -54
6 62:45:b7:78:a1:82 -67
7 04:bd:88:76:f4:20 -80
8 04:bd:88:76:f4:21 -80
9 04:bd:88:77:07:22 -80
10 62:45:b6:ce:ac:21 -80
11 04:bd:88:76:f5:82 -81
12 04:bd:88:76:f5:81 -81
13 04:bd:88:76:f5:80 -82
14 04:bd:88:76:f7:21 -84
15 04:bd:88:76:f7:20 -85
16 70:8b:cd:5e:4f:f0 -85
17 18:64:72:29:09:c2 -86
18 18:64:72:29:09:c1 -86
19 18:64:72:29:09:c0 -87
20 04:bd:88:76:f6:82 -87
21 04:bd:88:76:f6:80 -88
22 84:d4:7e:4a:68:02 -90

room 1 2020-11-22 15:16:08.687
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -53
1 04:bd:88:76:f9:f0 -53
2 04:bd:88:76:f9:f2 -53
3 04:bd:88:76:f9:e0 -53
4 04:bd:88:76:f9:e1 -53
5 04:bd:88:76:f9:e2 -54
6 04:bd:88:76:f4:22 -80
7 04:bd:88:76:f5:80 -81
8 04:bd:88:76:f4:20 -81
9 04:bd:88:76:f4:21 -81
10 04:bd:88:76:f5:81 -82
11 98:e7:f4:45:9b:4a -82
12 04:bd:88:76:f7:21 -84
13 04:bd:88:76:f7:20 -85
14 70:8b:cd:5e:4f:f0 -85
15 18:64:72:29:09:c2 -86
16 04:bd:88:76:f6:82 -86
17 18:64:72:29:09:c0 -87
18 18:64:72:29:09:c1 -87
19 04:bd:88:77:08:22 -87
20 84:d4:7e:4a:68:02 -88

room 1 2020-11-22 15:16:38.780
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -53
1 04:bd:88:76:f9:f0 -53
2 04:bd:88:76:f9:f2 -53
3 04:bd:88:76:f9:e0 -53
4 04:bd:88:76:f9:e1 -53
5 04:bd:88:76:f9:e2 -55
6 62:45:b7:78:a1:82 -66
7 70:8b:cd:5e:4f:f0 -68
8 04:bd:88:76:f7:22 -77
9 04:bd:88:76:f5:82 -80
10 04:bd:88:76:f5:80 -81
11 04:bd:88:76:f5:81 -81
12 04:bd:88:76:f7:21 -82
13 04:bd:88:76:f7:20 -84
14 04:bd:88:76:f4:c0 -87
15 04:bd:88:76:f4:c1 -87
16 04:bd:88:76:f4:c2 -87
17 84:d4:7e:4a:68:02 -88

room 1 2020-11-22 15:17:08.805
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:e0 -54
2 04:bd:88:76:f9:e1 -54
3 04:bd:88:76:f9:e2 -55
4 04:bd:88:76:f9:f0 -55
5 04:bd:88:76:f9:f2 -55
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f4:22 -77
8 04:bd:88:76:f4:21 -78
9 62:45:b6:ce:ac:21 -78
10 04:bd:88:76:f5:80 -80
11 04:bd:88:76:f4:20 -80
12 04:bd:88:76:f7:22 -81
13 04:bd:88:76:f7:21 -84
14 04:bd:88:76:f7:20 -85
15 12:d0:7a:c5:05:b5 -85
16 84:d4:7e:4a:d1:e2 -91

room 1 2020-11-22 15:17:38.791
                BSSID  RSSI
